Unnamed: 0,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
122,Female,Group C,Undergraduate,Standard Lunch,Completed Course,88,93,93
123,Male,Group D,Intermediate,Free/Reduced Lunch,No Prep,63,57,56
124,Male,Group E,Undergraduate,Standard Lunch,No Prep,83,80,73
125,Female,Group B,Intermediate,Standard Lunch,No Prep,87,95,86
126,Male,Group B,Intermediate,Standard Lunch,No Prep,72,68,67
127,Male,Group D,Undergraduate,Standard Lunch,Completed Course,65,77,74
128,Male,Group D,Postgraduate,Standard Lunch,No Prep,82,82,74
129,Female,Group A,Undergraduate,Standard Lunch,No Prep,51,49,51
130,Male,Group D,Postgraduate,Standard Lunch,No Prep,89,84,82
131,Male,Group C,Intermediate,Free/Reduced Lunch,Completed Course,53,37,40
132,Male,Group E,Undergraduate,Free/Reduced Lunch,Completed Course,87,74,70
133,Female,Group C,Undergraduate,Standard Lunch,Completed Course,75,81,84
134,Male,Group D,Undergraduate,Free/Reduced Lunch,Completed Course,74,79,75
135,Male,Group C,Undergraduate,Standard Lunch,No Prep,58,55,48
136,Male,Group B,Intermediate,Standard Lunch,Completed Course,51,54,41
137,Male,Group E,Intermediate,Standard Lunch,No Prep,70,55,56
138,Female,Group C,Undergraduate,Standard Lunch,No Prep,59,66,67
139,Male,Group D,Undergraduate,Standard Lunch,Completed Course,71,61,69
140,Female,Group D,Intermediate,Standard Lunch,No Prep,76,72,71
141,Female,Group C,Undergraduate,Free/Reduced Lunch,No Prep,59,62,64
142,Female,Group E,Undergraduate,Free/Reduced Lunch,Completed Course,42,55,54
143,Male,Group A,Intermediate,Standard Lunch,No Prep,57,43,47
144,Male,Group D,Undergraduate,Standard Lunch,No Prep,88,73,78
145,Female,Group C,Undergraduate,Free/Reduced Lunch,No Prep,22,39,33
146,Male,Group B,Intermediate,Standard Lunch,No Prep,88,84,75
147,Male,Group C,Undergraduate,Free/Reduced Lunch,No Prep,73,68,66
148,Female,Group D,Undergraduate,Standard Lunch,Completed Course,68,75,81
149,Male,Group E,Undergraduate,Free/Reduced Lunch,Completed Course,100,100,93
150,Male,Group A,Intermediate,Standard Lunch,Completed Course,62,67,69
151,Male,Group A,Undergraduate,Standard Lunch,No Prep,77,67,68
152,Female,Group B,Undergraduate,Standard Lunch,Completed Course,59,70,66
153,Male,Group D,Undergraduate,Standard Lunch,No Prep,54,49,47
154,Male,Group D,Intermediate,Standard Lunch,No Prep,62,67,61
155,Female,Group C,Undergraduate,Standard Lunch,Completed Course,70,89,88
156,Female,Group E,Intermediate,Free/Reduced Lunch,Completed Course,66,74,78
157,Male,Group B,Undergraduate,Free/Reduced Lunch,No Prep,60,60,60
158,Female,Group B,Undergraduate,Standard Lunch,Completed Course,61,86,87
159,Male,Group D,Undergraduate,Free/Reduced Lunch,No Prep,66,62,64
160,Male,Group B,Undergraduate,Free/Reduced Lunch,Completed Course,82,78,74
161,Female,Group E,Undergraduate,Free/Reduced Lunch,Completed Course,75,88,85
162,Male,Group B,Postgraduate,Free/Reduced Lunch,No Prep,49,53,52
163,Male,Group C,Intermediate,Standard Lunch,No Prep,52,53,49
164,Female,Group E,Postgraduate,Standard Lunch,No Prep,81,92,91
165,Female,Group C,Undergraduate,Standard Lunch,Completed Course,96,100,100
166,Male,Group C,Intermediate,Free/Reduced Lunch,Completed Course,53,51,51
167,Female,Group B,Postgraduate,Free/Reduced Lunch,Completed Course,58,76,78
168,Female,Group B,Intermediate,Standard Lunch,Completed Course,68,83,78
169,Female,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,67,75,70
170,Male,Group A,Intermediate,Standard Lunch,Completed Course,72,73,74
171,Male,Group E,Intermediate,Standard Lunch,No Prep,94,88,78
172,Female,Group D,Undergraduate,Standard Lunch,No Prep,79,86,81
173,Female,Group C,Undergraduate,Standard Lunch,No Prep,63,67,70
174,Female,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,43,51,54
175,Female,Group C,Postgraduate,Standard Lunch,Completed Course,81,91,87
176,Female,Group B,Intermediate,Free/Reduced Lunch,Completed Course,46,54,58
177,Female,Group C,Undergraduate,Standard Lunch,Completed Course,71,77,77
178,Female,Group B,Postgraduate,Free/Reduced Lunch,Completed Course,52,70,62
179,Female,Group D,Intermediate,Standard Lunch,Completed Course,97,100,100
180,Male,Group C,Postgraduate,Free/Reduced Lunch,Completed Course,62,68,75
181,Female,Group C,Undergraduate,Free/Reduced Lunch,No Prep,46,64,66
182,Female,Group E,Intermediate,Standard Lunch,No Prep,50,50,47
183,Female,Group D,Undergraduate,Standard Lunch,No Prep,65,69,70
184,Male,Group C,Intermediate,Free/Reduced Lunch,Completed Course,45,52,49
185,Male,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,65,67,65
186,Male,Group E,Intermediate,Standard Lunch,No Prep,80,76,65
187,Male,Group D,Intermediate,Standard Lunch,Completed Course,62,66,68
188,Male,Group B,Intermediate,Free/Reduced Lunch,No Prep,48,52,45
189,Female,Group C,Undergraduate,Standard Lunch,No Prep,77,88,87
190,Female,Group E,Undergraduate,Standard Lunch,No Prep,66,65,69
191,Male,Group D,Undergraduate,Standard Lunch,Completed Course,76,83,79
192,Female,Group B,Intermediate,Standard Lunch,No Prep,62,64,66
193,Male,Group D,Undergraduate,Standard Lunch,Completed Course,77,62,62
194,Female,Group C,Postgraduate,Standard Lunch,Completed Course,69,84,85
195,Male,Group D,Undergraduate,Standard Lunch,No Prep,61,55,52
196,Male,Group C,Intermediate,Free/Reduced Lunch,Completed Course,59,69,65
197,Male,Group E,Intermediate,Free/Reduced Lunch,No Prep,55,56,51
198,Female,Group B,Undergraduate,Free/Reduced Lunch,No Prep,45,53,55
199,Female,Group B,Undergraduate,Free/Reduced Lunch,No Prep,78,79,76
200,Female,Group C,Undergraduate,Standard Lunch,Completed Course,67,84,86
201,Female,Group D,Undergraduate,Free/Reduced Lunch,No Prep,65,81,77
202,Male,Group C,Undergraduate,Standard Lunch,No Prep,69,77,69
203,Female,Group B,Undergraduate,Standard Lunch,No Prep,57,69,68
204,Male,Group C,Undergraduate,Standard Lunch,No Prep,59,41,42
205,Male,Group D,Intermediate,Standard Lunch,Completed Course,74,71,78
206,Male,Group E,Undergraduate,Standard Lunch,No Prep,82,62,62
207,Male,Group E,Intermediate,Standard Lunch,Completed Course,81,80,76
208,Female,Group B,Undergraduate,Free/Reduced Lunch,No Prep,74,81,76
209,Female,Group B,Undergraduate,Free/Reduced Lunch,No Prep,58,61,66
210,Male,Group D,Intermediate,Free/Reduced Lunch,Completed Course,80,79,79
211,Male,Group C,Undergraduate,Free/Reduced Lunch,No Prep,35,28,27
212,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,42,62,60
213,Male,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,60,51,56
214,Male,Group E,Intermediate,Standard Lunch,Completed Course,87,91,81
215,Male,Group B,Intermediate,Standard Lunch,Completed Course,84,83,75
216,Female,Group E,Undergraduate,Free/Reduced Lunch,Completed Course,83,86,88
217,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,34,42,39
218,Male,Group B,Intermediate,Free/Reduced Lunch,No Prep,66,77,70
219,Male,Group B,Intermediate,Standard Lunch,Completed Course,61,56,56
220,Female,Group D,Intermediate,Standard Lunch,Completed Course,56,68,74
221,Male,Group B,Undergraduate,Standard Lunch,No Prep,87,85,73
222,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,55,65,62
223,Male,Group D,Intermediate,Standard Lunch,No Prep,86,80,75
224,Female,Group B,Undergraduate,Standard Lunch,Completed Course,52,66,73
225,Female,Group E,Postgraduate,Free/Reduced Lunch,No Prep,45,56,54
226,Female,Group C,Undergraduate,Standard Lunch,No Prep,72,72,71
227,Male,Group D,Intermediate,Standard Lunch,No Prep,57,50,54
228,Male,Group A,Intermediate,Free/Reduced Lunch,No Prep,68,72,64
229,Female,Group C,Undergraduate,Standard Lunch,Completed Course,88,95,94
230,Male,Group D,Undergraduate,Standard Lunch,No Prep,76,64,66
231,Male,Group C,Undergraduate,Standard Lunch,No Prep,46,43,42
232,Female,Group B,Undergraduate,Standard Lunch,No Prep,67,86,83
233,Male,Group E,Intermediate,Standard Lunch,No Prep,92,87,78
234,Male,Group C,Undergraduate,Standard Lunch,Completed Course,83,82,84
235,Male,Group D,Undergraduate,Standard Lunch,No Prep,80,75,77
236,Male,Group D,Undergraduate,Free/Reduced Lunch,No Prep,63,66,67
237,Female,Group D,Intermediate,Standard Lunch,Completed Course,64,60,74
238,Male,Group B,Undergraduate,Standard Lunch,No Prep,54,52,51
239,Male,Group C,Undergraduate,Standard Lunch,No Prep,84,80,80
240,Male,Group D,Intermediate,Free/Reduced Lunch,Completed Course,73,68,66
241,Female,Group E,Undergraduate,Standard Lunch,No Prep,80,83,83
242,Female,Group D,Intermediate,Standard Lunch,No Prep,56,52,55
243,Male,Group E,Undergraduate,Standard Lunch,No Prep,59,51,43
244,Male,Group D,Intermediate,Standard Lunch,No Prep,75,74,69
245,Male,Group C,Undergraduate,Standard Lunch,No Prep,85,76,71
246,Male,Group E,Undergraduate,Standard Lunch,No Prep,89,76,74
247,Female,Group B,Intermediate,Standard Lunch,Completed Course,58,70,68
248,Female,Group B,Intermediate,Standard Lunch,No Prep,65,64,62
249,Male,Group C,Intermediate,Standard Lunch,No Prep,68,60,53
250,Male,Group A,Intermediate,Standard Lunch,Completed Course,47,49,49
251,Female,Group D,Undergraduate,Free/Reduced Lunch,No Prep,71,83,83
252,Female,Group B,Intermediate,Standard Lunch,Completed Course,60,70,70
253,Male,Group D,Postgraduate,Standard Lunch,No Prep,80,80,72
254,Male,Group D,Intermediate,Standard Lunch,No Prep,54,52,52
255,Female,Group E,Undergraduate,Standard Lunch,No Prep,62,73,70
256,Female,Group C,Undergraduate,Free/Reduced Lunch,No Prep,64,73,68
257,Male,Group C,Undergraduate,Standard Lunch,Completed Course,78,77,77
258,Female,Group B,Undergraduate,Standard Lunch,No Prep,70,75,78
259,Female,Group C,Postgraduate,Free/Reduced Lunch,Completed Course,65,81,81
260,Female,Group C,Intermediate,Free/Reduced Lunch,Completed Course,64,79,77
261,Male,Group C,Undergraduate,Standard Lunch,Completed Course,79,79,78
262,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,44,50,51
263,Female,Group E,Intermediate,Standard Lunch,No Prep,99,93,90
264,Male,Group D,Intermediate,Standard Lunch,No Prep,76,73,68
265,Male,Group D,Intermediate,Free/Reduced Lunch,No Prep,59,42,41
266,Female,Group C,Undergraduate,Standard Lunch,No Prep,63,75,81
267,Female,Group D,Intermediate,Standard Lunch,No Prep,69,72,77
268,Female,Group D,Undergraduate,Standard Lunch,Completed Course,88,92,95
269,Female,Group E,Undergraduate,Free/Reduced Lunch,No Prep,71,76,70
270,Male,Group C,Undergraduate,Standard Lunch,No Prep,69,63,61
271,Male,Group C,Undergraduate,Standard Lunch,No Prep,58,49,42
272,Female,Group D,Undergraduate,Free/Reduced Lunch,No Prep,47,53,58
273,Female,Group D,Undergraduate,Standard Lunch,No Prep,65,70,71
274,Male,Group B,Undergraduate,Standard Lunch,Completed Course,88,85,76
275,Male,Group C,Undergraduate,Standard Lunch,No Prep,83,78,73
276,Female,Group C,Intermediate,Standard Lunch,Completed Course,85,92,93
277,Female,Group E,Intermediate,Standard Lunch,Completed Course,59,63,75
278,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,65,86,80
279,Male,Group B,Undergraduate,Free/Reduced Lunch,No Prep,73,56,57
280,Male,Group D,Intermediate,Standard Lunch,No Prep,53,52,42
281,Male,Group D,Intermediate,Standard Lunch,No Prep,45,48,46
282,Female,Group D,Undergraduate,Free/Reduced Lunch,No Prep,73,79,84
283,Female,Group D,Undergraduate,Free/Reduced Lunch,Completed Course,70,78,78
284,Female,Group B,Intermediate,Standard Lunch,No Prep,37,46,46
285,Male,Group B,Undergraduate,Standard Lunch,Completed Course,81,82,82
286,Male,Group E,Undergraduate,Standard Lunch,Completed Course,97,82,88
287,Female,Group B,Intermediate,Standard Lunch,No Prep,67,89,82
288,Male,Group B,Undergraduate,Free/Reduced Lunch,No Prep,88,75,76
289,Male,Group E,Intermediate,Standard Lunch,Completed Course,77,76,77
290,Male,Group C,Undergraduate,Standard Lunch,No Prep,76,70,68
291,Male,Group D,Intermediate,Standard Lunch,No Prep,86,73,70
292,Male,Group C,Intermediate,Standard Lunch,Completed Course,63,60,57
293,Female,Group E,Undergraduate,Standard Lunch,No Prep,65,73,75
294,Male,Group D,Intermediate,Free/Reduced Lunch,Completed Course,78,77,80
295,Male,Group B,Undergraduate,Free/Reduced Lunch,No Prep,67,62,60
296,Male,Group A,Intermediate,Standard Lunch,Completed Course,46,41,43
297,Male,Group E,Undergraduate,Standard Lunch,Completed Course,71,74,68
298,Male,Group C,Intermediate,Free/Reduced Lunch,Completed Course,40,46,50
299,Male,Group D,Undergraduate,Free/Reduced Lunch,No Prep,90,87,75
300,Male,Group A,Undergraduate,Free/Reduced Lunch,Completed Course,81,78,81
301,Male,Group D,Intermediate,Free/Reduced Lunch,No Prep,56,54,52
302,Female,Group C,Undergraduate,Standard Lunch,Completed Course,67,84,81
303,Male,Group B,Undergraduate,Standard Lunch,No Prep,80,76,64
304,Female,Group C,Undergraduate,Standard Lunch,Completed Course,74,75,83
305,Male,Group A,Undergraduate,Standard Lunch,No Prep,69,67,69
306,Male,Group E,Undergraduate,Standard Lunch,Completed Course,99,87,81
307,Male,Group C,Intermediate,Standard Lunch,No Prep,51,52,44
308,Female,Group B,Undergraduate,Free/Reduced Lunch,No Prep,53,71,67
309,Female,Group D,Intermediate,Free/Reduced Lunch,No Prep,49,57,52
310,Female,Group B,Undergraduate,Standard Lunch,No Prep,73,76,80
311,Male,Group B,Undergraduate,Standard Lunch,No Prep,66,60,57
312,Male,Group D,Undergraduate,Standard Lunch,Completed Course,67,61,68
313,Female,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,68,67,69
314,Female,Group C,Undergraduate,Standard Lunch,Completed Course,59,64,75
315,Male,Group C,Intermediate,Standard Lunch,No Prep,71,66,65
316,Female,Group D,Postgraduate,Standard Lunch,Completed Course,77,82,91
317,Male,Group C,Undergraduate,Standard Lunch,No Prep,83,72,78
318,Male,Group B,Undergraduate,Standard Lunch,No Prep,63,71,69
319,Female,Group D,Undergraduate,Free/Reduced Lunch,No Prep,56,65,63
320,Female,Group C,Intermediate,Free/Reduced Lunch,Completed Course,67,79,84
321,Female,Group E,Intermediate,Standard Lunch,No Prep,75,86,79
322,Female,Group C,Undergraduate,Standard Lunch,No Prep,71,81,80
323,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,43,53,53
324,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,41,46,43
325,Female,Group C,Undergraduate,Standard Lunch,No Prep,82,90,94
326,Male,Group C,Undergraduate,Standard Lunch,No Prep,61,61,62
327,Male,Group A,Undergraduate,Free/Reduced Lunch,No Prep,28,23,19
328,Male,Group C,Undergraduate,Standard Lunch,Completed Course,82,75,77
329,Female,Group B,Intermediate,Standard Lunch,No Prep,41,55,51
330,Male,Group C,Intermediate,Standard Lunch,No Prep,71,60,61
331,Male,Group C,Undergraduate,Standard Lunch,No Prep,47,37,35
332,Male,Group E,Undergraduate,Standard Lunch,Completed Course,62,56,53
333,Male,Group B,Undergraduate,Standard Lunch,No Prep,90,78,81
334,Female,Group C,Undergraduate,Standard Lunch,No Prep,83,93,95
335,Female,Group B,Undergraduate,Free/Reduced Lunch,No Prep,61,68,66
336,Male,Group D,Intermediate,Standard Lunch,Completed Course,76,70,69
337,Male,Group C,Undergraduate,Standard Lunch,No Prep,49,51,43
338,Female,Group B,Intermediate,Free/Reduced Lunch,No Prep,24,38,27
339,Female,Group D,Intermediate,Free/Reduced Lunch,Completed Course,35,55,60
340,Male,Group C,Intermediate,Free/Reduced Lunch,No Prep,58,61,52
341,Female,Group C,Intermediate,Standard Lunch,No Prep,61,73,63
342,Female,Group B,Intermediate,Standard Lunch,Completed Course,69,76,74
343,Male,Group D,Undergraduate,Standard Lunch,Completed Course,67,72,67
344,Male,Group D,Undergraduate,Standard Lunch,No Prep,79,73,67
345,Female,Group C,Intermediate,Standard Lunch,No Prep,72,80,75
346,Male,Group B,Undergraduate,Standard Lunch,No Prep,62,61,57
347,Female,Group C,Undergraduate,Standard Lunch,Completed Course,77,94,95
348,Male,Group D,Intermediate,Free/Reduced Lunch,No Prep,75,74,66
349,Male,Group E,Undergraduate,Standard Lunch,No Prep,87,74,76
350,Female,Group B,Undergraduate,Standard Lunch,No Prep,52,65,69
351,Male,Group E,Undergraduate,Standard Lunch,No Prep,66,57,52
352,Female,Group C,Undergraduate,Standard Lunch,Completed Course,63,78,80
353,Female,Group C,Undergraduate,Standard Lunch,No Prep,46,58,57
354,Female,Group C,Undergraduate,Standard Lunch,No Prep,59,71,70
355,Female,Group B,Undergraduate,Standard Lunch,No Prep,61,72,70
356,Male,Group A,Undergraduate,Standard Lunch,No Prep,63,61,61
357,Female,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,42,66,69
358,Male,Group D,Undergraduate,Free/Reduced Lunch,No Prep,59,62,61
359,Female,Group D,Undergraduate,Standard Lunch,No Prep,80,90,89
360,Female,Group B,Intermediate,Standard Lunch,No Prep,58,62,59
361,Male,Group B,Intermediate,Standard Lunch,Completed Course,85,84,78
362,Female,Group C,Undergraduate,Standard Lunch,No Prep,52,58,58
363,Female,Group D,Intermediate,Free/Reduced Lunch,No Prep,27,34,32
364,Male,Group C,Undergraduate,Standard Lunch,No Prep,59,60,58
365,Male,Group A,Undergraduate,Free/Reduced Lunch,Completed Course,49,58,60
366,Male,Group C,Intermediate,Standard Lunch,Completed Course,69,58,53
367,Male,Group C,Undergraduate,Free/Reduced Lunch,No Prep,61,66,61
368,Female,Group A,Intermediate,Free/Reduced Lunch,No Prep,44,64,58
369,Female,Group D,Intermediate,Standard Lunch,No Prep,73,84,85
370,Male,Group E,Undergraduate,Standard Lunch,No Prep,84,77,71
371,Female,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,45,73,70
372,Male,Group D,Intermediate,Standard Lunch,No Prep,74,74,72
373,Female,Group D,Undergraduate,Standard Lunch,Completed Course,82,97,96
374,Female,Group D,Undergraduate,Standard Lunch,No Prep,59,70,73
375,Male,Group E,Undergraduate,Free/Reduced Lunch,No Prep,46,43,41
376,Female,Group D,Intermediate,Standard Lunch,No Prep,80,90,82
377,Female,Group D,Postgraduate,Free/Reduced Lunch,Completed Course,85,95,100
378,Female,Group A,Intermediate,Standard Lunch,No Prep,71,83,77
379,Male,Group A,Undergraduate,Standard Lunch,No Prep,66,64,62
380,Female,Group B,Undergraduate,Standard Lunch,No Prep,80,86,83
381,Male,Group C,Undergraduate,Standard Lunch,Completed Course,87,100,95
