Unnamed: 0,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
468,Female,Group A,Intermediate,Free/Reduced Lunch,Completed Course,77,88,85
935,Male,Group D,Undergraduate,Free/Reduced Lunch,No Prep,70,63,58
428,Male,Group A,Intermediate,Free/Reduced Lunch,No Prep,65,59,53
7,Male,Group B,Undergraduate,Free/Reduced Lunch,No Prep,40,43,39
155,Female,Group C,Undergraduate,Standard Lunch,Completed Course,70,89,88
541,Male,Group D,Undergraduate,Free/Reduced Lunch,Completed Course,79,82,80
440,Female,Group C,Undergraduate,Standard Lunch,Completed Course,67,81,79
482,Male,Group C,Undergraduate,Free/Reduced Lunch,No Prep,68,68,61
422,Female,Group D,Postgraduate,Free/Reduced Lunch,Completed Course,47,58,67
778,Female,Group A,Undergraduate,Standard Lunch,Completed Course,72,79,82
949,Female,Group E,Intermediate,Free/Reduced Lunch,Completed Course,57,75,73
334,Female,Group C,Undergraduate,Standard Lunch,No Prep,83,93,95
576,Male,Group A,Undergraduate,Standard Lunch,Completed Course,61,51,52
934,Male,Group C,Undergraduate,Standard Lunch,Completed Course,98,87,90
567,Female,Group D,Postgraduate,Free/Reduced Lunch,Completed Course,61,71,78
594,Female,Group C,Undergraduate,Standard Lunch,Completed Course,92,100,99
530,Female,Group C,Undergraduate,Standard Lunch,Completed Course,68,67,73
581,Female,Group E,Intermediate,Standard Lunch,No Prep,77,79,80
707,Male,Group C,Undergraduate,Standard Lunch,No Prep,66,59,52
448,Male,Group B,Intermediate,Standard Lunch,No Prep,47,46,42
453,Male,Group C,Undergraduate,Free/Reduced Lunch,No Prep,65,58,49
228,Male,Group A,Intermediate,Free/Reduced Lunch,No Prep,68,72,64
352,Female,Group C,Undergraduate,Standard Lunch,Completed Course,63,78,80
728,Female,Group D,Intermediate,Free/Reduced Lunch,No Prep,73,92,84
212,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,42,62,60
79,Female,Group E,Postgraduate,Standard Lunch,No Prep,62,68,68
148,Female,Group D,Undergraduate,Standard Lunch,Completed Course,68,75,81
302,Female,Group C,Undergraduate,Standard Lunch,Completed Course,67,84,81
628,Male,Group D,Undergraduate,Free/Reduced Lunch,No Prep,49,57,46
777,Female,Group C,Undergraduate,Free/Reduced Lunch,No Prep,35,44,43
506,Male,Group A,Intermediate,Standard Lunch,No Prep,68,70,66
342,Female,Group B,Intermediate,Standard Lunch,Completed Course,69,76,74
485,Male,Group C,Intermediate,Standard Lunch,No Prep,70,74,71
711,Female,Group E,Intermediate,Standard Lunch,Completed Course,80,85,85
133,Female,Group C,Undergraduate,Standard Lunch,Completed Course,75,81,84
703,Female,Group D,Undergraduate,Standard Lunch,No Prep,63,64,67
311,Male,Group B,Undergraduate,Standard Lunch,No Prep,66,60,57
722,Female,Group B,Intermediate,Free/Reduced Lunch,Completed Course,74,90,88
629,Female,Group C,Intermediate,Standard Lunch,Completed Course,44,51,55
0,Female,Group B,Undergraduate,Standard Lunch,No Prep,72,72,74
316,Female,Group D,Postgraduate,Standard Lunch,Completed Course,77,82,91
706,Male,Group D,Intermediate,Standard Lunch,No Prep,46,34,36
547,Male,Group C,Intermediate,Standard Lunch,Completed Course,72,67,64
872,Male,Group B,Undergraduate,Standard Lunch,Completed Course,82,84,78
532,Male,Group E,Undergraduate,Standard Lunch,Completed Course,62,61,58
477,Male,Group D,Undergraduate,Standard Lunch,No Prep,80,68,72
404,Female,Group C,Intermediate,Standard Lunch,No Prep,54,59,62
172,Female,Group D,Undergraduate,Standard Lunch,No Prep,79,86,81
125,Female,Group B,Intermediate,Standard Lunch,No Prep,87,95,86
394,Female,Group C,Intermediate,Standard Lunch,Completed Course,65,74,77
420,Female,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,82,93,93
552,Female,Group B,Undergraduate,Standard Lunch,No Prep,40,48,50
903,Female,Group D,Undergraduate,Free/Reduced Lunch,Completed Course,93,100,100
90,Female,Group C,Undergraduate,Standard Lunch,No Prep,65,72,74
939,Male,Group D,Intermediate,Standard Lunch,Completed Course,77,68,69
181,Female,Group C,Undergraduate,Free/Reduced Lunch,No Prep,46,64,66
274,Male,Group B,Undergraduate,Standard Lunch,Completed Course,88,85,76
895,Female,Group E,Intermediate,Free/Reduced Lunch,No Prep,32,34,38
69,Female,Group C,Undergraduate,Standard Lunch,No Prep,39,64,57
291,Male,Group D,Intermediate,Standard Lunch,No Prep,86,73,70
131,Male,Group C,Intermediate,Free/Reduced Lunch,Completed Course,53,37,40
300,Male,Group A,Undergraduate,Free/Reduced Lunch,Completed Course,81,78,81
424,Male,Group B,Undergraduate,Free/Reduced Lunch,No Prep,41,39,34
326,Male,Group C,Undergraduate,Standard Lunch,No Prep,61,61,62
144,Male,Group D,Undergraduate,Standard Lunch,No Prep,88,73,78
423,Female,Group A,Intermediate,Standard Lunch,Completed Course,59,85,80
580,Female,Group D,Intermediate,Standard Lunch,No Prep,81,97,96
135,Male,Group C,Undergraduate,Standard Lunch,No Prep,58,55,48
450,Female,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,64,85,85
164,Female,Group E,Postgraduate,Standard Lunch,No Prep,81,92,91
28,Male,Group C,Intermediate,Standard Lunch,No Prep,70,70,65
773,Female,Group C,Undergraduate,Free/Reduced Lunch,No Prep,62,78,79
193,Male,Group D,Undergraduate,Standard Lunch,Completed Course,77,62,62
388,Female,Group D,Intermediate,Standard Lunch,No Prep,62,64,64
852,Female,Group E,Undergraduate,Standard Lunch,No Prep,87,85,93
169,Female,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,67,75,70
705,Male,Group A,Undergraduate,Free/Reduced Lunch,No Prep,62,72,65
140,Female,Group D,Intermediate,Standard Lunch,No Prep,76,72,71
173,Female,Group C,Undergraduate,Standard Lunch,No Prep,63,67,70
6,Female,Group B,Undergraduate,Standard Lunch,Completed Course,88,95,92
745,Male,Group D,Undergraduate,Standard Lunch,No Prep,72,79,74
478,Female,Group D,Postgraduate,Standard Lunch,No Prep,55,64,70
73,Male,Group C,Intermediate,Free/Reduced Lunch,No Prep,61,57,56
910,Male,Group D,Undergraduate,Free/Reduced Lunch,No Prep,50,42,48
813,Male,Group E,Intermediate,Standard Lunch,Completed Course,87,84,76
238,Male,Group B,Undergraduate,Standard Lunch,No Prep,54,52,51
145,Female,Group C,Undergraduate,Free/Reduced Lunch,No Prep,22,39,33
792,Male,Group D,Intermediate,Free/Reduced Lunch,No Prep,66,74,69
234,Male,Group C,Undergraduate,Standard Lunch,Completed Course,83,82,84
220,Female,Group D,Intermediate,Standard Lunch,Completed Course,56,68,74
923,Female,Group B,Undergraduate,Free/Reduced Lunch,No Prep,54,65,65
500,Female,Group D,Postgraduate,Standard Lunch,No Prep,74,79,82
132,Male,Group E,Undergraduate,Free/Reduced Lunch,Completed Course,87,74,70
990,Male,Group E,Intermediate,Free/Reduced Lunch,Completed Course,86,81,75
774,Male,Group B,Undergraduate,Standard Lunch,No Prep,66,65,60
185,Male,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,65,67,65
41,Female,Group C,Undergraduate,Standard Lunch,No Prep,58,73,68
696,Female,Group C,Undergraduate,Standard Lunch,Completed Course,75,82,90
108,Female,Group B,Undergraduate,Free/Reduced Lunch,No Prep,52,76,70
588,Female,Group C,Undergraduate,Standard Lunch,No Prep,54,64,65
56,Female,Group E,Undergraduate,Standard Lunch,Completed Course,82,85,86
405,Female,Group C,Intermediate,Standard Lunch,No Prep,63,73,68
442,Female,Group A,Intermediate,Free/Reduced Lunch,No Prep,59,73,69
757,Male,Group E,Undergraduate,Free/Reduced Lunch,Completed Course,70,68,72
997,Female,Group C,Intermediate,Free/Reduced Lunch,Completed Course,59,71,65
24,Male,Group D,Undergraduate,Free/Reduced Lunch,Completed Course,74,71,80
467,Male,Group A,Intermediate,Free/Reduced Lunch,Completed Course,72,67,65
539,Male,Group A,Undergraduate,Standard Lunch,Completed Course,97,92,86
531,Female,Group C,Intermediate,Standard Lunch,No Prep,47,54,53
618,Male,Group D,Postgraduate,Standard Lunch,No Prep,95,81,84
694,Female,Group C,Intermediate,Standard Lunch,No Prep,49,63,56
926,Male,Group E,Undergraduate,Free/Reduced Lunch,No Prep,64,56,52
338,Female,Group B,Intermediate,Free/Reduced Lunch,No Prep,24,38,27
51,Male,Group E,Undergraduate,Free/Reduced Lunch,Completed Course,77,69,68
507,Male,Group B,Undergraduate,Free/Reduced Lunch,No Prep,55,59,54
516,Female,Group D,Undergraduate,Standard Lunch,No Prep,74,89,84
920,Male,Group D,Intermediate,Free/Reduced Lunch,No Prep,69,70,67
781,Female,Group B,Postgraduate,Standard Lunch,No Prep,77,90,84
264,Male,Group D,Intermediate,Standard Lunch,No Prep,76,73,68
817,Male,Group D,Undergraduate,Free/Reduced Lunch,Completed Course,61,70,76
710,Male,Group C,Undergraduate,Standard Lunch,Completed Course,93,84,90
682,Male,Group B,Intermediate,Standard Lunch,No Prep,62,55,54
832,Male,Group A,Undergraduate,Standard Lunch,No Prep,64,60,58
518,Female,Group D,Intermediate,Standard Lunch,Completed Course,66,78,78
447,Male,Group C,Intermediate,Standard Lunch,Completed Course,86,81,80
18,Male,Group C,Postgraduate,Free/Reduced Lunch,Completed Course,46,42,46
715,Female,Group B,Undergraduate,Free/Reduced Lunch,Completed Course,76,94,87
483,Male,Group A,Intermediate,Standard Lunch,No Prep,59,52,46
568,Male,Group B,Intermediate,Free/Reduced Lunch,No Prep,63,48,47
433,Female,Group A,Intermediate,Free/Reduced Lunch,No Prep,47,59,50
367,Male,Group C,Undergraduate,Free/Reduced Lunch,No Prep,61,66,61
83,Male,Group E,Undergraduate,Standard Lunch,No Prep,72,64,63
61,Male,Group A,Intermediate,Free/Reduced Lunch,No Prep,39,39,34
638,Male,Group E,Undergraduate,Standard Lunch,No Prep,86,76,74
272,Female,Group D,Undergraduate,Free/Reduced Lunch,No Prep,47,53,58
285,Male,Group B,Undergraduate,Standard Lunch,Completed Course,81,82,82
360,Female,Group B,Intermediate,Standard Lunch,No Prep,58,62,59
354,Female,Group C,Undergraduate,Standard Lunch,No Prep,59,71,70
456,Female,Group D,Undergraduate,Standard Lunch,No Prep,79,89,89
278,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,65,86,80
12,Female,Group B,Intermediate,Standard Lunch,No Prep,65,81,73
182,Female,Group E,Intermediate,Standard Lunch,No Prep,50,50,47
368,Female,Group A,Intermediate,Free/Reduced Lunch,No Prep,44,64,58
881,Female,Group E,Undergraduate,Standard Lunch,Completed Course,71,70,70
615,Female,Group C,Intermediate,Standard Lunch,No Prep,60,68,72
223,Male,Group D,Intermediate,Standard Lunch,No Prep,86,80,75
572,Female,Group C,Undergraduate,Standard Lunch,No Prep,53,62,56
970,Female,Group D,Undergraduate,Standard Lunch,No Prep,89,100,100
653,Female,Group A,Undergraduate,Standard Lunch,Completed Course,65,70,74
545,Male,Group E,Intermediate,Free/Reduced Lunch,Completed Course,78,83,80
582,Female,Group D,Undergraduate,Free/Reduced Lunch,No Prep,63,73,78
633,Female,Group C,Intermediate,Standard Lunch,No Prep,75,88,85
176,Female,Group B,Intermediate,Free/Reduced Lunch,Completed Course,46,54,58
665,Female,Group C,Intermediate,Free/Reduced Lunch,Completed Course,50,60,60
673,Female,Group C,Undergraduate,Standard Lunch,Completed Course,65,84,84
585,Female,Group C,Undergraduate,Standard Lunch,No Prep,65,76,76
873,Male,Group E,Undergraduate,Free/Reduced Lunch,No Prep,90,90,82
393,Male,Group C,Undergraduate,Standard Lunch,Completed Course,57,54,56
163,Male,Group C,Intermediate,Standard Lunch,No Prep,52,53,49
248,Female,Group B,Intermediate,Standard Lunch,No Prep,65,64,62
634,Male,Group D,Intermediate,Standard Lunch,No Prep,84,84,80
885,Female,Group C,Undergraduate,Standard Lunch,Completed Course,62,76,80
669,Male,Group D,Undergraduate,Standard Lunch,Completed Course,81,72,77
375,Male,Group E,Undergraduate,Free/Reduced Lunch,No Prep,46,43,41
412,Male,Group D,Undergraduate,Standard Lunch,No Prep,71,66,60
74,Male,Group C,Intermediate,Standard Lunch,No Prep,49,49,41
113,Female,Group D,Undergraduate,Standard Lunch,No Prep,51,58,54
598,Female,Group D,Intermediate,Standard Lunch,No Prep,69,77,73
961,Female,Group D,Intermediate,Free/Reduced Lunch,No Prep,48,54,53
390,Male,Group E,Intermediate,Free/Reduced Lunch,Completed Course,73,67,59
104,Male,Group C,Undergraduate,Standard Lunch,Completed Course,98,86,90
114,Female,Group E,Undergraduate,Standard Lunch,Completed Course,99,100,100
417,Male,Group C,Undergraduate,Standard Lunch,No Prep,74,73,67
525,Male,Group E,Undergraduate,Standard Lunch,No Prep,68,60,59
457,Male,Group D,Undergraduate,Free/Reduced Lunch,No Prep,53,54,48
409,Male,Group D,Undergraduate,Standard Lunch,Completed Course,87,84,85
92,Male,Group C,Intermediate,Standard Lunch,No Prep,71,79,71
930,Male,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,67,74,70
89,Female,Group D,Intermediate,Standard Lunch,No Prep,73,86,82
336,Male,Group D,Intermediate,Standard Lunch,Completed Course,76,70,69
988,Female,Group A,Intermediate,Free/Reduced Lunch,No Prep,44,45,45
921,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,35,53,46
933,Male,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,70,75,74
605,Male,Group C,Intermediate,Standard Lunch,No Prep,75,72,62
593,Female,Group E,Intermediate,Standard Lunch,No Prep,74,76,73
611,Female,Group C,Undergraduate,Standard Lunch,No Prep,58,59,66
94,Female,Group B,Undergraduate,Standard Lunch,No Prep,79,86,92
11,Male,Group D,Undergraduate,Standard Lunch,No Prep,40,52,43
396,Female,Group B,Intermediate,Free/Reduced Lunch,No Prep,50,67,63
533,Female,Group E,Undergraduate,Standard Lunch,Completed Course,79,88,94
43,Male,Group B,Undergraduate,Free/Reduced Lunch,Completed Course,59,65,66
42,Female,Group B,Undergraduate,Standard Lunch,No Prep,53,58,65
329,Female,Group B,Intermediate,Standard Lunch,No Prep,41,55,51
167,Female,Group B,Postgraduate,Free/Reduced Lunch,Completed Course,58,76,78
497,Female,Group D,Undergraduate,Free/Reduced Lunch,Completed Course,59,78,76
876,Male,Group D,Undergraduate,Standard Lunch,No Prep,81,82,84
597,Male,Group A,Intermediate,Standard Lunch,No Prep,53,54,48
756,Male,Group D,Undergraduate,Standard Lunch,No Prep,55,58,52
100,Male,Group B,Undergraduate,Standard Lunch,No Prep,79,67,67
426,Male,Group C,Undergraduate,Standard Lunch,No Prep,86,83,86
178,Female,Group B,Postgraduate,Free/Reduced Lunch,Completed Course,52,70,62
444,Male,Group A,Intermediate,Free/Reduced Lunch,No Prep,79,82,73
416,Male,Group C,Undergraduate,Standard Lunch,Completed Course,71,74,68
870,Male,Group B,Intermediate,Standard Lunch,No Prep,59,58,47
882,Female,Group B,Intermediate,Free/Reduced Lunch,No Prep,64,73,71
680,Female,Group D,Intermediate,Standard Lunch,No Prep,67,72,74
177,Female,Group C,Undergraduate,Standard Lunch,Completed Course,71,77,77
395,Male,Group A,Intermediate,Free/Reduced Lunch,No Prep,48,45,41
911,Female,Group A,Undergraduate,Standard Lunch,No Prep,69,84,82
793,Male,Group E,Intermediate,Standard Lunch,Completed Course,89,84,77
960,Female,Group A,Undergraduate,Standard Lunch,No Prep,56,58,64
684,Male,Group B,Undergraduate,Standard Lunch,Completed Course,62,66,68
383,Female,Group E,Intermediate,Free/Reduced Lunch,No Prep,38,49,45
956,Male,Group C,Undergraduate,Standard Lunch,No Prep,84,87,81
751,Male,Group E,Undergraduate,Standard Lunch,No Prep,68,72,65
257,Male,Group C,Undergraduate,Standard Lunch,Completed Course,78,77,77
538,Male,Group E,Undergraduate,Standard Lunch,Completed Course,85,66,71
335,Female,Group B,Undergraduate,Free/Reduced Lunch,No Prep,61,68,66
15,Female,Group C,Intermediate,Standard Lunch,No Prep,69,75,78
324,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,41,46,43
758,Female,Group D,Undergraduate,Free/Reduced Lunch,Completed Course,52,59,65
222,Female,Group C,Intermediate,Free/Reduced Lunch,No Prep,55,65,62
179,Female,Group D,Intermediate,Standard Lunch,Completed Course,97,100,100
983,Female,Group A,Undergraduate,Standard Lunch,Completed Course,78,87,91
22,Male,Group D,Undergraduate,Standard Lunch,No Prep,44,54,53
356,Male,Group A,Undergraduate,Standard Lunch,No Prep,63,61,61
666,Female,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,63,73,71
861,Female,Group E,Postgraduate,Free/Reduced Lunch,No Prep,81,86,87
340,Male,Group C,Intermediate,Free/Reduced Lunch,No Prep,58,61,52
431,Female,Group C,Intermediate,Standard Lunch,No Prep,61,72,70
551,Male,Group B,Undergraduate,Free/Reduced Lunch,Completed Course,87,90,88
833,Female,Group B,Intermediate,Standard Lunch,Completed Course,77,82,89
203,Female,Group B,Undergraduate,Standard Lunch,No Prep,57,69,68
630,Male,Group D,Undergraduate,Standard Lunch,No Prep,67,64,70
93,Male,Group C,Undergraduate,Free/Reduced Lunch,Completed Course,43,45,50
558,Female,Group B,Undergraduate,Free/Reduced Lunch,No Prep,53,70,70
68,Male,Group B,Undergraduate,Free/Reduced Lunch,No Prep,61,58,56
622,Male,Group C,Intermediate,Free/Reduced Lunch,Completed Course,58,51,52
284,Female,Group B,Intermediate,Standard Lunch,No Prep,37,46,46
844,Female,Group D,Intermediate,Free/Reduced Lunch,Completed Course,40,65,64
434,Male,Group C,Intermediate,Standard Lunch,No Prep,73,66,66
153,Male,Group D,Undergraduate,Standard Lunch,No Prep,54,49,47
75,Male,Group B,Undergraduate,Free/Reduced Lunch,No Prep,44,41,38
730,Female,Group B,Undergraduate,Free/Reduced Lunch,Completed Course,68,77,80
446,Male,Group D,Undergraduate,Free/Reduced Lunch,No Prep,69,66,60
188,Male,Group B,Intermediate,Free/Reduced Lunch,No Prep,48,52,45
271,Male,Group C,Undergraduate,Standard Lunch,No Prep,58,49,42
236,Male,Group D,Undergraduate,Free/Reduced Lunch,No Prep,63,66,67
487,Female,Group C,Undergraduate,Free/Reduced Lunch,No Prep,60,75,74
117,Female,Group D,Undergraduate,Standard Lunch,No Prep,78,82,79
943,Male,Group A,Intermediate,Free/Reduced Lunch,Completed Course,61,62,61
512,Male,Group D,Intermediate,Free/Reduced Lunch,No Prep,62,49,52
825,Male,Group C,Intermediate,Standard Lunch,No Prep,62,67,58
591,Male,Group A,Intermediate,Standard Lunch,No Prep,71,62,50
126,Male,Group B,Intermediate,Standard Lunch,No Prep,72,68,67
116,Female,Group B,Undergraduate,Free/Reduced Lunch,No Prep,75,85,82
473,Female,Group D,Intermediate,Standard Lunch,No Prep,59,67,61
693,Female,Group D,Undergraduate,Standard Lunch,No Prep,77,77,73
57,Male,Group D,Undergraduate,Standard Lunch,No Prep,52,55,49
863,Female,Group C,Undergraduate,Standard Lunch,Completed Course,71,71,80
912,Female,Group C,Undergraduate,Standard Lunch,Completed Course,52,61,66
369,Female,Group D,Intermediate,Standard Lunch,No Prep,73,84,85
268,Female,Group D,Undergraduate,Standard Lunch,Completed Course,88,92,95
46,Female,Group A,Undergraduate,Standard Lunch,Completed Course,55,65,62
349,Male,Group E,Undergraduate,Standard Lunch,No Prep,87,74,76
195,Male,Group D,Undergraduate,Standard Lunch,No Prep,61,55,52
999,Female,Group D,Undergraduate,Free/Reduced Lunch,No Prep,77,86,86
834,Male,Group B,Undergraduate,Standard Lunch,No Prep,58,50,45
736,Male,Group C,Undergraduate,Standard Lunch,No Prep,92,79,84
263,Female,Group E,Intermediate,Standard Lunch,No Prep,99,93,90
443,Female,Group B,Undergraduate,Standard Lunch,No Prep,73,83,76
675,Female,Group B,Undergraduate,Standard Lunch,Completed Course,50,64,66
304,Female,Group C,Undergraduate,Standard Lunch,Completed Course,74,75,83
341,Female,Group C,Intermediate,Standard Lunch,No Prep,61,73,63
966,Male,Group A,Intermediate,Standard Lunch,Completed Course,66,68,64
149,Male,Group E,Undergraduate,Free/Reduced Lunch,Completed Course,100,100,93
124,Male,Group E,Undergraduate,Standard Lunch,No Prep,83,80,73
786,Female,Group E,Intermediate,Free/Reduced Lunch,No Prep,72,79,77
50,Male,Group E,Undergraduate,Standard Lunch,No Prep,53,55,48
353,Female,Group C,Undergraduate,Standard Lunch,No Prep,46,58,57
927,Female,Group D,Intermediate,Free/Reduced Lunch,Completed Course,65,61,71
142,Female,Group E,Undergraduate,Free/Reduced Lunch,Completed Course,42,55,54
470,Female,Group C,Undergraduate,Standard Lunch,Completed Course,83,85,90
399,Male,Group D,Intermediate,Standard Lunch,No Prep,60,59,54
625,Male,Group D,Undergraduate,Standard Lunch,Completed Course,100,97,99
320,Female,Group C,Intermediate,Free/Reduced Lunch,Completed Course,67,79,84
